<매칭 테이블>
oracle table	impala table	매칭기호
smicdc_nrd.mc_lot	MOS_KH_SMI.SMICDC_NRD_MC_LOT	a
smicdc_p3nrd.mc_lot	MOS_KH_SMI.SMICDC_P3NRD_MC_LOT	b
smicdc_nrdk.mc_lot	MOS_KH_SMI.SMICDC_NRDK_MC_LOT	c
MI_LOT_TRANSN_HIST_V	FAB.M_LOT_TRANSN_HIST	d
SMICDC_NRD.TODOPLAN	MOS_KH_SMI.SMICDC_NRD_TODOPLAN	e
smicdc_nrd.stepcomments	MOS_KH_SMI.SMICDC_NRD_STEPCOMMENTS	f
SMICDC_P3NRD.MC_LOT_STEP_COMMENT 	MOS_KH_SMI.SMICDC_P3NRD_MC_LOT_STEP_COMMENT	g
SMICDC_NRDK.MC_LOT_STEP_COMMENT 	MOS_KH_SMI.SMICDC_NRDK_MC_LOT_STEP_COMMENT	h
smicdc_nrd.steprule	MOS_KH_SMI.SMICDC_NRD_STEPRULE	i



<impala 테이블 컬럼>매칭기호	컬럼명	datatype	pk
d	wafer_event_id	STRING	
d	carr_id	STRING	
d	line_id	STRING	
d	tkout_date	DATE	
e	lotobject	STRING	
e	processplan	STRING	
e	lotid	STRING	
e	parentlotid	STRING	
e	stepseq	STRING	
e	skipflag	STRING	
e	pathseq	DOUBLE	
e	indate	TIMESTAMP	
e	abnormal	STRING	
e	adhocplanname	STRING	
e	einsteptype	STRING	
e	einno	STRING	
f	fromseq	DOUBLE	
f	seq	DOUBLE	
f	commenttype	STRING	
f	comments	STRING	
f	inserttime	TIMESTAMP	
f	inuserid	STRING	
f	deleteuser	STRING	
f	deletetime	TIMESTAMP	
g	object_id	STRING	
g	lot_id	STRING	
g	parent_order_seq	DOUBLE	
g	comment_order_seq	DOUBLE	
g	comment_type	STRING	
g	step_comment	STRING	
g	user_id	STRING	
g	del_yn	STRING	
g	update_date	TIMESTAMP	
g	rule_no	STRING	
g	step_seq	STRING	
h	object_id	STRING	
h	lot_id	STRING	
h	parent_order_seq	DOUBLE	
h	comment_order_seq	DOUBLE	
h	comment_type	STRING	
h	step_comment	STRING	
h	user_id	STRING	
h	del_yn	STRING	
h	update_date	TIMESTAMP	
h	rule_no	STRING	
h	step_seq	STRING	
i	ruleseq	DOUBLE	
i	processid	STRING	
i	lotobject	STRING	
i	stepseq	STRING	
i	rulename	STRING	
i	rulegroupno	STRING	
i	stepid	STRING	
i	rulepriority	DOUBLE	
i	rulestatus	STRING	
i	parentlotid	STRING	
i	lotid	STRING	
i	ruletype	STRING	
i	rulevalue	STRING	
i	ruleaction	STRING	
i	ruleno	STRING	
i	expiredate	TIMESTAMP	
i	jumpstepseq	STRING	
i	returnstepseq	STRING	
i	owner	STRING	
i	insertdate	TIMESTAMP	
i	color	STRING	
i	ppid	STRING	
i	recipeid	STRING	
i	eqpid	STRING	
i	chamberid	STRING	
i	eqpgroup	STRING	
i	reticleid	STRING	
i	expoid	STRING	
i	dcspecid	STRING	
i	specification	STRING	
i	layerid	STRING	
i	compcount	DOUBLE	
i	descript	STRING	
i	comment_	STRING	
i	eqptype	STRING	
i	delaytime	DOUBLE	
i	dcflag	STRING	
i	adhocplanname	STRING	
i	metalstatus	STRING	
i	category	STRING	
i	delaylimit	DOUBLE	


