<매칭 테이블>
oracle table	impala table	oracletable매칭기호	impalatable매칭기호
g	prev_duv_eqp_id	STRING
g	prev_duv_step_seq	STRING
g	step_arrive_date	STRING
g	bay_name	STRING
g	abnrml_type	STRING
g	ncf_code	STRING
g	ef_start_dttm	STRING
g	proc_ver	STRING
g	ewr_path_object_id	STRING
g	sys_line_id	STRING
g	bstskipstep	STRING
g	order_seq	DOUBLE
g	lot_level	DOUBLE
h	impala_insert_time	TIMESTAMP
h	line_id	STRING
h	eqp_group_name	STRING
h	seq_order_no	DOUBLE
h	eqp_id	STRING
h	eqp_desc	STRING
h	update_user_id	STRING
h	update_date	TIMESTAMP
h	if_update_date	TIMESTAMP
i	impala_insert_time	TIMESTAMP
i	version_desc	STRING
i	issue_no	DOUBLE
i	line_id	STRING
i	room_name	STRING
i	item_type	STRING
i	status_seq	STRING
i	lot_id	STRING
i	lot_status_seg	STRING
i	update_user_name	STRING
i	hold_user_name	STRING
i	issue_reason_cont	STRING
i	over_time_vals	STRING
i	lot_prio_no	DOUBLE
i	wafer_qty	DOUBLE
i	lot_loc_name	STRING
i	hot_lot_yn	STRING
i	lot_type	STRING
i	delay_dttm	STRING
i	eqp_status_seg	STRING
i	ers_ver	STRING
i	area_name	STRING
i	proc_id	STRING
i	step_seq	STRING
i	proc_group_name	STRING
i	issue_date	TIMESTAMP
i	update_date	TIMESTAMP
i	user_update_dttm	STRING
i	update_comment	STRING
i	start_dttm	STRING
i	end_dttm	STRING
i	prio_no	DOUBLE
i	temp_1st_vals	STRING
i	temp_2nd_vals	STRING
i	temp_3rd_vals	STRING
i	sub_line_id	STRING
i	sdwt_desc	STRING
i	eqp_id	STRING
i	eqp_type	STRING
i	delay_type	STRING
i	origin_line_id	STRING
i	origin_room_name	STRING
j	object_id	STRING
j	lot_id	STRING
j	parent_order_seq	DOUBLE
j	comment_order_seq	DOUBLE
j	comment_type	STRING
j	step_comment	STRING
j	user_id	STRING
j	del_yn	STRING
j	update_date	TIMESTAMP
j	rule_no	STRING
j	step_seq	STRING
k	object_id	STRING
k	lot_id	STRING
k	parent_order_seq	DOUBLE
k	comment_order_seq	DOUBLE
k	comment_type	STRING
k	step_comment	STRING
k	user_id	STRING
k	del_yn	STRING
k	update_date	TIMESTAMP
k	rule_no	STRING
k	step_seq	STRING
l	lot_transn_type	STRING
l	lot_transn_time	STRING
l	last_transn_sys_id	STRING
l	lot_sys_id	STRING
l	lot_type	STRING
l	step_seq	STRING
l	wip_attribute	STRING
l	step_id	STRING
l	delay_time	BIGINT
l	new_attr_value	STRING
l	delay_restrc_time	BIGINT
l	origin_attr_value	STRING
l	rework_yn	STRING
l	comment_code	STRING
l	process_finish_date	TIMESTAMP
l	component_qty	BIGINT
l	tkin_date	TIMESTAMP
l	brief_desc	STRING
l	dcol_date	TIMESTAMP
l	recent_tkout_time	STRING
l	process_start_date	TIMESTAMP
l	current_line_id	STRING
l	virtual_line_id	STRING
l	room_name	STRING
l	tkin_opertr_id	STRING
l	layer_id	STRING
l	etc_opertr_id	STRING
l	ppid	STRING
l	origin_line_id	STRING
l	area_name	STRING
l	bay_name	STRING
l	tkin_batch_id	STRING
l	lot_transn_seq	BIGINT
l	lot_process_prity	BIGINT
l	process_eqp_id	STRING
l	lot_transn_desc	STRING
l	lot_transn_comment	STRING
l	chamber_id	STRING
l	port_load_date	TIMESTAMP
l	port_unload_date	TIMESTAMP
l	to_step_seq	STRING
l	reticle_id	STRING
l	lot_id	STRING
l	last_update_date	TIMESTAMP
l	wip_transn_parent_sys_id	STRING
l	process_id	STRING
l	start_compnt_qty	BIGINT
l	lot_start_time	STRING
l	vendor_id	STRING
l	step_desc	STRING
l	eqp_type	STRING
l	product_id	STRING
l	detail_desc	STRING
l	lot_hold_reason	STRING
l	split_lot_qty	BIGINT
l	child_lot_id	STRING
l	real_component_qty	BIGINT
l	event_wafer_qty	BIGINT
l	dest_line_id	STRING
l	from_step_seq	STRING
l	to_process_unit	STRING
l	process_unit_chg_yn	STRING
l	from_process_id	STRING
l	from_product_id	STRING
l	from_lot_type	STRING
l	new_lot_id	STRING
l	loss_reason_eqp_id	STRING
l	loss_component_id_list	STRING
l	code_id	STRING
l	lot_attr_sum	STRING
